Summer,Category,Constructs,Subconstructs,Instrument,Subjects,Q#,N,Variable Name,Trigger,Order,Question,Question (Chinese),Reverse,Response rule,Response rule（Chinese）,Ans_Value,Ans1,Ans2,Ans3,Ans4,Ans5,Ans6,Ans7,Ans 1 (Chinese),Ans 2 (Chinese),Ans 3 (Chinese),Ans 4 (Chinese),Ans 5 (Chinese),Ans 6 (Chinese),Ans 7 (Chinese),,Scenario,Difficulty,notes,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,P,P-Disa-Read-RD,5,P-Disa-Read-RD5,,NA,"Your child struggles with higher math, such as algebra.",对于学习中等数学（比如代数等）感到十分困难。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,P,P-Disa-Read-RD,6,P-Disa-Read-RD6,,NA,There is a significant discrepancy between your child's IQs and test scores.,您的孩子的聪明程度和成绩不相符。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,http://www.bdadyslexia.org.uk/common/ckeditor/filemanager/userfiles/Adult-Checklist.pdf,,,,,,,,,,
0,Disability in Learning,Reading Disability,#prompts,Reading Disability Adult Checklist,S,S-Disa-Read-#prom,1,S-Disa-Read-#prom1,,NA,How often do you have the following situation?,请选择您出现下列行为的频率。,,,,,,,,,,,,,,,,,,,,,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,S,S-Disa-Read-RD,1,S-Disa-Read-RD1,,NA,Has difficulty reading unfamiliar words and often guesses at them,无法根据字词的拼音发出正确的读音。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,S,S-Disa-Read-RD,2,S-Disa-Read-RD2,,NA,Resists writing tasks,对写作文有强烈的抵触情绪。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,S,S-Disa-Read-RD,3,S-Disa-Read-RD3,,NA,Has trouble with punctuation,难以掌握标点符号的使用。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,S,S-Disa-Read-RD,4,S-Disa-Read-RD4,,NA,Has messy handwriting,书写凌乱。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,S,S-Disa-Read-RD,5,S-Disa-Read-RD5,,NA,Makes frequent errors in characters,写很多错别字。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,S,S-Disa-Read-RD,6,S-Disa-Read-RD6,,NA,Doesn't like to read for fun,不喜欢阅读。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,S,S-Disa-Read-RD,7,S-Disa-Read-RD7,,NA,Struggles to understand what you have read,理解不了读过的内容。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,S,S-Disa-Read-RD,8,S-Disa-Read-RD8,,NA,"Pauses, repeats or makes frequent mistakes when reading aloud",朗读的时候会停顿、重复、出错。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
0,Disability in Learning,Reading Disability,RD,Reading Disability Adult Checklist,S,S-Disa-Read-RD,9,S-Disa-Read-RD9,,NA,Becomes frustrated or angry when doing school work,一做作业就感到烦躁。,,choose one,,"(0,0,1,2,3）",Never,Rarely,Sometimes,Often,Always,,,从不,很少,有时,经常,总是,,,,2,Evaluation,,,,,,,,,,,
1,Academic Assessment,English Language,#prompts,Dyned,S,S-Acad-Engl-#prom,1,S-Acad-Engl-#prom1,,S21,"This is the last section of your assessment. Please raise your hand and let us know if you are in this step!
 ",这是您评估的最后一部分。当你做到这一步时，请举手告诉我们！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Academic Assessment,English Language,assessment,Dyned,S,S-Acad-Engl-asses,2,S-Acad-Engl-asses2,,S21,https://mobile.dyned.com/index.php/assessment,https://mobile.dyned.com/index.php/assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Background,Demographics ,Age,UES,S,S-Back-Demo-Age,1,S-Back-Demo-Age1,,S01,What is your age?,您的年龄,,choose one,单选,"(12,13,14,15,16)",12,13,14,15,16,,,12,13,14,15,16,,,,,Information,,,,,,,,,,,
1,Background,Demographics ,Gender,UES,S,S-Back-Demo-Gende,1,S-Back-Demo-Gende1,,S01,What is your sex?,性别,,choose one,单选,"(1,2,3)",Male,Female,Other,,,,,男,女,其他,,,,,,,Information,,,,,,,,,,,
1,Background,Language,fluency,UES,S,S-Back-Lang-fluen,1,S-Back-Lang-fluen1,,S01,What primary language(s) do you speak?,你会说什么语言？,,choose all that apply,多选,(1-12),Add language list,,,,,,,Language list,,,,,,,,,Information,,,,,,,,,,,
1,Background,Parenting,#prompts,Parenting approach,S,S-Back-Pare-#prom,1,S-Back-Pare-#prom1,,S03,"Parents may contribute to children’s development a great deal. Think about your daily interactions with your parents, and tell us how much you agree or disagree with the following statements. ",父母的影响非常深远。回想一下你与父母的日常互动，并告诉我们你对以下陈述有多不同意或同意。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Background,Parenting,Ability to Express Love,Parenting approach,S,S-Back-Pare-Abili,1,S-Back-Pare-Abili1,,S03,My parents really love me.,我的父母很爱我。,,choose one,单选,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,11,Evaluation ,a1~u1求和,,,,,,,,,,
1,Background,Parenting,Consistency,Parenting approach,S,S-Back-Pare-Consi,1,S-Back-Pare-Consi1,,S03,My parents are good role models for me.,我的父母是我的榜样。,,choose one,单选,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,11,Evaluation ,side by side comparison,,,,,,,,,,
1,Background,Parenting,Empathy,Parenting approach,S,S-Back-Pare-Empat,1,S-Back-Pare-Empat1,,S03,My parents rarely fight in front of me.,我的父母很少在我面前吵架。,,choose one,单选,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,11,Evaluation ,,,,,,,,,,,
1,Background,Parenting,Engagement,Parenting approach,S,S-Back-Pare-Engag,1,S-Back-Pare-Engag1,,S03,My parents rarely spend time with me.,我的父母很少和我相处。,Reverse,choose one,单选,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,11,Evaluation ,,,,,,,,,,,
1,Background,Parenting,Expectations,Multidimensional Perfectionism Scale,S,S-Back-Pare-Expec,1,S-Back-Pare-Expec1,,S03,I never felt like I could meet my parents' standards.,我觉得我从来没有达到过我父母的标准。,Reverse,choose one,单选,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,11,Evaluation ,,,,,,,,,,,
0,Motivation,,Extrinsic,UES,S,S-Moti--Extri,5,S-Moti--Extri5,,NA,I want to get better job opportunities.,希望获得更好的工作机会,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,7,Opinion,,,,,,,,,,,
0,Motivation,Study in U.S.,#prompts,UES,S,S-Moti-Stud-#prom,1,S-Moti-Stud-#prom1,,NA,Please indicate if the following statements describe your motivation to attend a U.S. college.,想去美国留学是因为,,,,,,,,,,,,,,,,,,,,,Opinion,,,,,,,,,,,
0,Motivation,Study in U.S.,Extrinsic,UES,S,S-Moti-Stud-Extri,1,S-Moti-Stud-Extri1,,NA,My parents want me to go to college in the U.S.,父母的要求,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,11,Opinion,intrinsicmotivation-towardaccomplishment ,,,,,,,,,,
0,Motivation,Study in U.S.,Extrinsic,UES,S,S-Moti-Stud-Extri,2,S-Moti-Stud-Extri2,,NA,I want to attend a college with better ranking.,想上名校,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,1,Opinion,Intrinsicmotivation-to experience stimulation ,,,,,,,,,,
0,Motivation,Study in U.S.,Extrinsic,UES,S,S-Moti-Stud-Extri,3,S-Moti-Stud-Extri3,,NA,American diploma is more recognized.,美国的文凭更被认可,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,,Opinion,Extrinsic motivation-identified,,,,,,,,,,
0,Motivation,Study in U.S.,Extrinsic,UES,S,S-Moti-Stud-Extri,4,S-Moti-Stud-Extri4,,NA,Some of my friends are planning to attend U.S. colleges.,身边的同学都准备去美国留学,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,,Opinion,,,,,,,,,,,
0,Motivation,Study in U.S.,Extrinsic,UES,S,S-Moti-Stud-Extri,6,S-Moti-Stud-Extri6,,NA,I want to have independence.,没有家长的约束,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,11,Opinion,,,,,,,,,,,
0,Motivation,Study in U.S.,Intrinsic,UES,S,S-Moti-Stud-Intri,1,S-Moti-Stud-Intri1,,NA,I want to gain different learning experience ,希望感受不一样的学习体验,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,,Opinion,"I,e分组求和",,,,,,,,,,
0,Motivation,Study in U.S.,Intrinsic,UES,S,S-Moti-Stud-Intri,2,S-Moti-Stud-Intri2,,NA,I want to challenge myself.,想挑战自我,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,,Opinion,Extrinsic motivation - external regulation,,,,,,,,,,
0,Motivation,Study in U.S.,Intrinsic,UES,S,S-Moti-Stud-Intri,3,S-Moti-Stud-Intri3,,NA,U.S. education resources are better.,美国的教学资源更好（设备，名师等）,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,1,Opinion,Extrinsic motivation-introjected ,,,,,,,,,,
0,Motivation,Study in U.S.,Intrinsic,UES,S,S-Moti-Stud-Intri,4,S-Moti-Stud-Intri4,,NA,Learning environment is more suitable for me.,美国的学习环境更适合您,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,1,Opinion,Amotivation ,,,,,,,,,,
0,Motivation,Study in U.S.,Intrinsic,UES,S,S-Moti-Stud-Intri,5,S-Moti-Stud-Intri5,,NA,I want to learn the most advanced science and technology.,能学到最新的科学技术,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,,Opinion,,,,,,,,,,,
0,Motivation,Study in U.S.,Intrinsic,UES,S,S-Moti-Stud-Intri,6,S-Moti-Stud-Intri6,,NA,of the yearning for life in the United States,对在美国生活的向往,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,6,Opinion,,,,,,,,,,,
0,Motivation,Study in U.S.,Intrinsic,UES,S,S-Moti-Stud-Intri,7,S-Moti-Stud-Intri7,,NA,I want to stand out from my peers.,想和别的同学不一样,,choose one,,"(1,2,3,4,5,6,7)",Strongly disagree,Disagree,Somewhat disagree,Neutral,Somewhat agree,Agree,Strongly agree,非常不同意,不同意,有点不同意,中立,有点同意,同意,非常同意,,,Opinion,,,,,,,,,,,
1,Introduction,Terms of Use,Terms of Use,UES,P,P-Intr-Term-Terms,1,P-Intr-Term-Terms1,,P00,"The UES Self-Discovery Inventory (the “UES-SDI”) provided to you has been prepared by USA-UES. If you complete the UES-SDI, we treat your responses and your results as confidential information. Your personal information will not be shared with or sold to third parties.
 
 This survey is meant for UES to get a comprehensive understanding of your child, in order to provide better personalized services. If you understand and agree to the terms of use, please enter your name below, which will indicate that you voluntarily agree to participate in it.","使用条款 “优易思自我发现问卷” （以下统称为“该问卷”）由美国-优易思公司为您提供，并归美国-优易思公司版权所有。我们将对您在该问卷中提供的结果和信息进行严格保密，并承诺杜绝将您的个人信息分享或转卖给第三方个人及机构。
美国-优易思使用该问卷采集学生信息，用于设计并提供给学生的个性化服务。若您理解并同意本条款，请在空白处填写您的姓名全拼。签名将作为您自愿参与该问卷并遵守本条款所有内容的证明依据。

",,fill in the blank,,STRING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Background,Demographics,Location,UES,P,P-Back-Demo-Locat,1,P-Back-Demo-Locat1,,P01,Does your family live in the same district as his/her school is in？,孩子是否在家庭所在的市上学,,choose one,单选,"(1,2)",Yes,No,,,,,,是,否,,,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,Location,UES,P,P-Back-Demo-Locat,2,P-Back-Demo-Locat2,If P-Back-Demo-Locat1=2,P01,Please choose the city in which your family lives in.,请在下列菜单选择您家庭所居住的城市,,choose one,单选,(1-10),Add city list,,,,,,,Add city list,,,,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,Location,UES,P,P-Back-Demo-Locat,2a,P-Back-Demo-Locat2a,if P-Back-Demo-Locat2=1,P01,Please choose the district your family lives in.,请在下拉菜单选择您家庭所在的区县,,choose one,单选,(1-16),Add district list of Beijing,,,,,,,Add district list of Beijing,,,,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,Location,UES,P,P-Back-Demo-Locat,2b,P-Back-Demo-Locat2b,if P-Back-Demo-Locat2=2,P01,Please choose the district your family lives in.,请在下拉菜单选择您家庭所在的区县,,choose one,单选,(1-16),Add district list of Shanghai,,,,,,,Add district list of Beijing,,,,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,Location,UES,P,P-Back-Demo-Locat,2c,P-Back-Demo-Locat2c,if P-Back-Demo-Locat2=3,P01,Please choose the district your family lives in.,请在下拉菜单选择您家庭所在的区县,,choose one,单选,(1-13),Add district list of Guangzhou,,,,,,,Add district list of Shenyang,,,,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,Location,UES,P,P-Back-Demo-Locat,2d,P-Back-Demo-Locat2d,if P-Back-Demo-Locat2=4,P01,Please choose the district your family lives in.,请在下拉菜单选择您家庭所在的区县,,choose one,单选,(1-13),Add district list of Shenyang,,,,,,,Add district list of Shenyang,,,,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,SES,UES,P,P-Back-Demo-SES,1,P-Back-Demo-SES1,,P01,What is your relation to the child?,您和学生是什么关系？,,choose one,单选,"(1,2,3,4)",Mother,Father,Grandparents,Other,,,,母亲,父亲,祖父母/外祖父母,其他,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,SES,UES,P,P-Back-Demo-SES,2,P-Back-Demo-SES2,,P01,Who is the primary caregiver of the student?,谁主要照顾学生的起居,,choose one,单选,"(1,2,3,4)",Parent,Grandparents,Babysitter,Other,,,,父母,祖父母/外祖父母,保姆,其他,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,SES,UES,P,P-Back-Demo-SES,3,P-Back-Demo-SES3,if P-Back-Demo-SES2^=1,P01,What is the highest education level that the primary caregiver completed?,主要照顾者的最高教育程度,,choose one,单选,"(1,2,3,4,5)",Add degree list,,,,,,,Add degree list,,,,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,SES,UES,P,P-Back-Demo-SES,4,P-Back-Demo-SES4,,P01,What is the highest degree father completed?,学生父亲的最高学历,,choose one,单选,"(1,2,3,4,5)",Add degree list,,,,,,,Add degree list,,,,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,SES,UES,P,P-Back-Demo-SES,5,P-Back-Demo-SES5,,P01,What is the highest degree mother completed?,学生母亲的最高学历,,choose one,单选,"(1,2,3,4,5)",Add degree list,,,,,,,Add degree list,,,,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,SES,UES,P,P-Back-Demo-SES,6,P-Back-Demo-SES6,,P01,Has any of the parents studied abroad?,父母是否有海外留学背景,,choose one,单选,"(1,2)",Yes,No,,,,,,是,否,,,,,,,,Information,,,,,,,,,,,
1,Background,Demographics,SES,UES,P,P-Back-Demo-SES,7,P-Back-Demo-SES7,,P01,What is the father's occupation?,学生父亲从事的工作,,choose one,单选,"(1,2,3,4,5,6)",Business Owners or board members,Company Management,"Professionals(e.g. Lawyers, doctors, accountants)",Government Officials,Educators (professors or teachers),Others,,企业老板或主要股东,公司高管,高级专业人才,高级公务员,教授或教师,其他类型,,,,Information,,,,,,,,,,,
1,Background,Demographics,SES,UES,P,P-Back-Demo-SES,8,P-Back-Demo-SES8,,P01,What is the mother's occupation?,学生母亲从事的工作,,choose one,单选,"(1,2,3,4,5)",Business Owners or board members,Company Management,"Professionals(e.g. Lawyers, doctors, accountants)",Government Officials,Educators( professors or teachers),Others,,企业老板或主要股东,公司高管,高级专业人才,高级公务员,教授或教师,其他类型,,,,Information,,,,,,,,,,,
1,Background,Demographics,SES,UES,P,P-Back-Demo-SES,9,P-Back-Demo-SES9,,P01,Annual household income?,家庭年收入,,choose one,单选,"(1,2,3,4,5,6)","below 500,000 Yuan","Between 500,000 to 1,000,000 Yuan","Between 1,000,000 to 2,000,0000 Yuan","Between 2,000,000 to 5,000,0000 Yuan","More than 5,000,000 Yuan",Prefer not to answer,,50万以内,50-100万,100-200万,200-500万,500万以上,不想回答,,,,Information,,,,,,,,,,,
1,Background,Middle School,grade,UES,P,P-Back-Midd-grade,1,P-Back-Midd-grade1,,P01,What's your child's grade?,您的孩子现读于几年级？,,choose one,单选,"(1,2,3,4,5,6,7)",6th grade,7h grade,8th grade,9th grade,10th grade,11th grade,12th grade,六年级,初一,初二,初三,高一,高二,高三,,,Information,,,,,,,,,,,
1,Background,Middle School,school,UES,P,P-Back-Midd-schoo,1,P-Back-Midd-schoo1,,P01,Where does your child go to school?,您的孩子（预计）在哪就读高中？,,choose one,单选,"(1,2)",Mainland China,Places other than Mainland China,,,,,,大陆地区,非大陆地区,,,,,,,,Information,,,,,,,,,,,
1,Background,Middle School,school,UES,P,P-Back-Midd-schoo,2,P-Back-Midd-schoo2,if P-Back-Midd-schoo1=1,P01,Please choose the city in which your child's school is.,请在下拉菜单选择学校所在的城市,,choose one,单选,(1-10),Add city list,,,,,,,Add city list,,,,,,,,,Information,,,,,,,,,,,
1,Background,Middle School,school,UES,P,P-Back-Midd-schoo,3,P-Back-Midd-schoo3,if P-Back-Midd-schoo1=1,P01,Do you have Hukou of the city where the school resides?,是否是该市的户口,,choose one,单选,"(1,2)",Yes,No,,,,,,是,否,,,,,,,,Information,信息保留,,,,,,,,,,
1,Background,Middle School,school,UES,P,P-Back-Midd-schoo,4,P-Back-Midd-schoo4,,P01,How many students are there in your child's grade?,您孩子所在年级一共有多少名学生？,,fill in the blank,填空,INTEGER,,,,,,,,,,,,,,,,,Information,,,,,,,,,,,
